,Rank,Anime,Anime Type,Episodes,Start Air Date,End Air Date,Members,Score
55,56,Made in Abyss: Retsujitsu no Ougonkyou,TV,12,Jul 2022 , Sep 2022,352336,8.68
56,57,One Piece,TV,1049,Oct 1999 ,,2099881,8.68
57,58,Mononoke Hime,Movie,1,Jul 1997 , Jul 1997,1163925,8.67
58,59,Spy x Family,TV,12,Apr 2022 , Jun 2022,1253272,8.67
59,60,Violet Evergarden,TV,13,Jan 2018 , Apr 2018,1632432,8.67
60,61,Made in Abyss,TV,13,Jul 2017 , Sep 2017,1255016,8.66
61,62,Mushishi,TV,26,Oct 2005 , Jun 2006,780087,8.66
62,63,Hajime no Ippo: New Challenger,TV,26,Jan 2009 , Jul 2009,260186,8.66
63,64,Howl no Ugoku Shiro,Movie,1,Nov 2004 , Nov 2004,1217997,8.66
64,65,Chainsaw Man,TV,12,Oct 2022 , Dec 2022,1140871,8.65
65,66,Jujutsu Kaisen,TV,24,Oct 2020 , Mar 2021,2155578,8.65
66,67,Natsume Yuujinchou Shi,TV,13,Jan 2012 , Mar 2012,232372,8.65
67,68,Shigatsu wa Kimi no Uso,TV,22,Oct 2014 , Mar 2015,2063897,8.65
68,69,Bungou Stray Dogs 4th Season,TV,13,Jan 2023 , Mar 2023,182842,8.64
